,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
9180,4,3,*3,1,* 5,* 0,0,1,0, 0, 0,0.78125000,* 3
9182,8,3,*3,1,* 6,* 0,*0,*1,0, 0,* 0,*0.81250000,* 3
9236,1,*4,1,1, 5, 0,1,1,0, 0, 1,0.45454545,19
9256,2,4,*2,1, 0, 5,1,1,*1, 0, 0,0.72881356,30
9290,1,2,3,1, 1, 1,0,1,*1, 0, 1,0.65048544,30
9308,1,*4,3,1,10, 1,0,1,0, 0, 0,0.71428571,16
9806,1,4,4,1, 7, 0,0,1,*1, 0, 0,0.28947368, 1
9894,1,*4,3,1, 5, 0,0,1,0, 1, 0,0.72500000, 6
9905,1,*4,3,1,19, 0,0,1,0, 1, 0,0.69565217, 5
10109,1,3,1,*0, 1, 1,1,1,0, 0, 0,0.62393162,26
10112,1,*1,1,1, 1, 0,1,1,0, 0, 0,0.48148148,10
10355,1,3,*7,1, 4, 0,1,1,0, 0, 1,0.61194030, 9
10356,1,3,*7,1, 4, 0,1,1,0, 0, 1,0.62686567, 9
10621,1,*5,2,1, 4, 3,0,2,0, 1, 1,0.57333333, 3
10622,1,*5,2,1, 4, 3,0,2,0, 1, 1,0.54430380, 3
10623,2,*5,*2,1, 4, 3,0,2,0, 1, 1,0.53086420, 3
10626,2,*5,*2,1, 4, 3,0,2,0, 1, 1,0.54761905, 3
10627,2,*5,*2,1, 4, 3,0,2,0, 1, 1,0.55952381, 3
10634,2,*5,*2,1, 8, 4,0,2,0, 1, 4,0.55952381, 3
10638,1,*5,2,1, 9, 4,0,2,0, 1, 4,0.58888889, 3
10646,1,*5,2,1,10, 3,0,2,0, 1, 4,0.64761905, 3
10656,3,*5,*2,1,11, 3,0,1,0, 1,* 6,0.65909091, 3
10884,1,3,7,1, 2, 0,0,1,*1, 0, 1,0.69473684,32
11183,1,3,1,*0, 2, 1,1,1,0, 0, 0,0.61904762,17
11209,1,*4,1,1,17, 2,0,1,0, 1, 1,0.43243243, 6
11273,1,*4,1,1, 1, 0,1,1,0, 0, 1,0.76923077, 3
11335,1,3,*4,1, 2, 0,0,1,0, 0, 0,0.79217604, 8
11361,1,4,*6,1, 4, 2,0,0,0, 0, 0,0.74285714, 3
11368,1,*4,7,1,10, 3,0,0,0, 0, 0,0.77142857, 2
11430,8,*2,*3,1,* 3,* 0,*0,1,0, 0,* 0,*0.82352941,*29
11508,1,3,4,1, 4, 0,*4,1,0, 0, 1,0.40000000,18
11514,1,3,1,1, 8, 2,0,0,0, 1, 0,*0.00000000,16
11533,1,*1,1,1, 2, 1,0,0,1, 0, 0,0.58333333, 5
11568,1,3,7,1, 3, 0,0,1,*2, 0, 1,0.65048544,34
11699,1,3,3,1, 2, 1,0,0,0,* 2, 0,0.54716981, 1
11788,1,*4,4,1, 5, 0,0,1,0, 0, 1,0.72941176,64
11886,1,*1,1,1, 3, 0,1,1,0, 0, 0,0.43902439,10
12019,1,2,7,1, 9, 1,0,1,0, 0,*11,0.80396476,31
12043,1,2,4,1, 0, 0,1,0,*1, 0, 0,0.71794872,36
12053,1,2,7,1, 1, 0,1,1,*1, 1, 1,0.69230769,37
12065,1,2,7,1, 0, 0,1,1,*1, 0, 0,0.71794872,36
12076,1,2,7,1, 1, 0,1,1,*1, 0, 0,0.69230769,37
12179,9,*3,*1,1,* 5,* 0,*1,1,0,* 0,* 1,*0.79661017,*65
12181,8,*3,*1,1,* 5, 0,*1,1,0,* 0,* 1,*0.79661017,*63
12243,1,3,1,*0, 4, 0,0,1,0, 0, 1,0.43750000,14
12262,1,3,*2,1,13, 3,0,1,0, 0, 1,0.41379310, 1
12288,1,*1,1,1, 9, 5,1,1,0, 1, 1,0.50000000,10
12550,1,3,1,1,38, 6,0,1,0, 1,* 7,0.82857143, 4
12638,1,3,1,*0, 0, 0,1,1,0, 1, 0,0.47826087,15
12676,1,3,*6,1, 2, 0,0,1,0, 0, 1,0.61214953,11
12827,1,2,7,1, 1, 0,0,1,*1, 0, 1,0.62727273,37
12938,2,*2,1,1, 5,* 1,1,1,0, 0, 0,0.53398058, 3
12940,1,*2,1,1, 6, 1,1,1,0, 0, 1,0.53398058, 8
12988,1,3,1,1, 7, 1,1,0,*1, 0, 4,0.68537666, 5
13060,1,*5,3,1, 2, 0,0,0,0, 0, 0,0.82178218,20
13146,2,*4,1,1, 4, 2,1,1,0, 0, 1,*0.14285714, 7
