,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
23903,1,4,3,*0,  6, 0, 0, 0,0,0, 0,0.85245902, 5
23949,1,*2,1,1, 10, 4, 1, 0,0,0, 0,0.70270270, 6
24062,1,2,*6,1,  4, 0, 0, 3,0,0, 1,0.73170732, 7
24063,1,2,*6,1,  5, 0, 0, 3,0,0, 1,0.73170732, 7
24064,2,3,*6,1,  6, 0, 0, 3,*1,0, 1,0.73170732, 7
24069,2,3,*6,*0,  8, 0, 0, 4,1,0, 4,0.74786325, 6
24070,2,3,*6,*0,  8, 0, 0, 4,1,0, 5,0.74786325, 6
24082,1,3,*6,1, 47, 2, 0, 3,1,0, 6,0.74786325, 4
24085,1,3,*6,1, 10, 0, 0, 3,1,0, 1,0.73170732, 6
24086,1,3,*6,1, 16, 0, 0, 3,1,0, 1,0.73170732, 6
24186,6,*4,*1,1, 12, 0,* 0,* 5,0,0, 1,*0.72946860,*10
24222,1,3,*6,1,  7, 0, 1, 4,0,0, 1,0.72596154,11
24223,1,3,*6,1, 14, 0, 1, 4,0,0, 1,0.73732719,11
24334,1,4,1,*0,  5, 0, 1, 4,0,0, 6,0.74786325, 1
24367,8,*5,*1,1,*  8, 0,* 0,* 5,0,0,* 0,*0.84552846,*36
24368,2,*5,1,1,  8, 0, 0,* 5,0,0, 0,0.84552846,35
24370,1,*5,1,1,  8, 0, 0, 4,0,0, 1,0.85772358,34
24372,1,*5,1,1,  8, 0, 0, 4,0,0, 2,0.85772358,33
24401,1,3,*2,1, 18, 0, 0, 3,0,0, 0,0.86842105, 1
24411,1,3,*2,1, 41, 0, 0, 3,0,0, 0,0.89743590, 1
24514,1,1,1,1, 49, 0, 5, 5,*2,0, 2,0.70000000, 9
24585,1,3,7,*0, 18, 0, 1, 0,0,0, 4,0.92727273, 8
24621,2,3,1,*0,  3, 1, 0, 0,0,0,*11,0.80000000, 1
24725,1,3,4,*0,  4, 0, 0, 0,0,0, 0,0.62443439,24
24791,1,*1,3,1,  6, 0, 1, 1,0,0, 0,0.53508772,14
24836,1,3,*2,1, 35, 0, 0, 2,0,1, 1,0.42857143, 2
24875,2,*4,1,1, 14, 0, 1, 2,0,0, 1,0.77894737,* 1
24906,1,3,7,*0,  1, 0, 0, 0,0,0, 1,0.55813953,19
24909,2,*1,*3,1, 10, 1, 2, 4,0,0, 1,0.53448276,26
24938,1,*1,7,1,  3, 0, 0, 4,0,0, 1,0.52542373,28
24941,1,*1,7,1,  9, 0, 0, 2,0,0, 2,0.52542373,26
24943,1,*1,7,1,  9, 0, 0, 1,0,0, 3,0.54014599,26
25112,1,2,1,*0,  3, 0, 1, 0,0,0, 0,0.80000000, 2
25133,1,*5,7,1,  4, 1, 2, 2,0,0, 0,0.89847716,21
25137,1,4,1,1,  9, 0, 0, 1,0,0, 1,*0.20000000, 1
25165,1,*5,1,1,  4, 0, 2, 5,0,0, 1,0.89393939,22
25166,1,*5,1,1,  8, 0, 2, 5,0,0, 1,0.89393939,22
25168,2,*1,1,1,  2, 0, 0,* 8,0,1, 0,0.83290816,21
25169,6,*1,1,1, 13,* 1, 0,* 8,*0,*1,* 0,0.83290816,21
25279,1,3,2,1, 27,*10, 0, 2,0,0, 1,0.96153846, 1
25345,1,2,1,*0,  2, 2, 1, 1,0,0, 0,0.92857143, 2
25544,1,1,7,1, 35, 0, 3, 4,*2,0, 2,0.88235294,23
25849,2,3,*3,1, 13, 0, 0, 0,0,0, 0,*0.92422625,13
25858,1,4,4,1, 21, 0, 4, 2,0,*2, 1,0.75000000, 1
25859,1,*1,1,1, 10, 1, 0, 3,0,0, 0,0.88855422,21
25860,1,*1,1,1, 21, 1, 0, 3,0,0, 0,0.88855422,21
25864,1,*1,1,1, 36, 1, 0, 3,0,0, 0,0.88855422,21
26000,1,*2,1,1,  9, 0, 1, 3,0,0, 3,0.92373333,35
26012,1,4,1,*0,  8, 0, 1, 0,0,0, 4,0.72727273, 1
26206,1,3,*3,1,  1, 1, 3, 3,0,0, 0,0.93396226, 7
26228,1,2,1,1, 16, 0,* 7, 6,0,1, 1,0.86234818,34
26229,1,2,1,1, 21, 0,* 7, 6,0,1, 1,0.86234818,34
26230,1,2,1,1, 29, 0,* 7, 6,0,1, 1,0.86234818,34
26315,1,4,1,1,  2, 0,* 6, 1,0,0, 0,0.91603053,21
26316,1,3,1,1, 18, 1,* 6, 7,0,0, 1,0.85600000,37
26317,1,3,1,1, 26, 1,* 6, 6,0,0, 2,0.86800000,34
26415,1,2,1,1, 50, 0, 1, 6,1,0, 3,*0.20000000, 2
26438,1,*2,7,1, 14, 0, 0, 3,0,1, 0,0.56428571, 4
26440,6,*2,*7,1, 17, 0, 0,* 4,*0,*1, 1,*0.57931034, 4
26483,1,3,1,1, 15, 0,* 4, 4,0,0, 1,0.87250996,33
26523,1,*5,4,1,  2, 0, 1, 2,0,0, 1,0.89047619,22
26586,1,4,4,1, 10, 0, 1, 1,0,*1, 0,0.60000000, 2
26598,1,4,4,1,  5, 0, 1, 0,0,0, 0,0.66666667,* 1
26810,1,*1,7,1, 16, 0, 4, 3,0,1, 0,0.88679245,25
26832,5,*4,1,1,  5, 0,* 1,* 4,0,0, 1,*0.91666667,*10
27039,5,*5,*3,1, 14, 0,* 1, 3,*1,0, 1,*0.92303609,35
27068,1,3,4,1, 18, 1, 3, 2,0,*2, 1,0.83333333, 1
27188,1,3,*2,1,  8, 0, 0, 0,0,1, 0,0.83561644, 1
27235,1,3,1,*0,  1, 0, 1, 0,0,0, 0,0.50000000,17
27240,2,*4,1,1, 18, 0, 0, 0,0,0, 0,0.60000000,* 1
27274,1,3,1,*0,  3, 2, 4, 0,0,0, 3,0.58659218, 5
27336,1,1,3,1, 64, 3,* 7, 5,0,0, 2,0.57575758,32
27347,1,*1,7,1, 28, 0, 0, 6,0,1, 1,0.55000000,32
27352,3,*4,1,1, 10, 0, 0,* 6,0,*1, 0,0.83040201,18
27728,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.54761905,15
27730,1,3,3,*0,  5, 0, 0, 0,0,0, 0,0.50000000, 1
27776,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.52727273,25
27779,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.52727273,25
27782,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.52727273,25
27785,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.52727273,25
27795,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.58730159,18
27832,2,2,*2,1, 41, 1, 0, 1,*2,0, 3,0.68780488,18
27842,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.58730159,18
27849,1,3,*2,1,  2, 1, 0, 0,0,0, 0,0.58730159,20
27864,1,3,*2,1,  2, 2, 1, 1,0,1, 1,0.58730159,28
27874,1,3,*2,1,  1, 1, 0, 0,0,0, 0,0.58730159,18
27898,1,3,*2,1, 31, 1, 0, 0,0,0, 0,0.58730159,18
27931,1,1,*2,1, 47, 1, 0, 1,1,0, 3,0.63128492,18
27943,1,3,*2,1,  5, 1, 0, 0,0,0, 0,0.58730159,18
27997,1,3,*2,1,  2, 1, 0, 0,0,0, 0,0.57142857, 4
28010,1,3,*2,1, 21, 3, 0, 2,0,0, 1,0.33333333, 4
28025,1,4,*2,1, 41, 0, 0, 4,0,0, 3,0.92307692,10
28115,2,3,2,*0, 24,*20, 1, 0,0,1, 6,0.66974170,28
28174,1,4,4,*0, 19, 3, 1, 1,0,1, 1,0.83125000,36
28184,1,3,*2,1, 17, 0, 0, 0,0,0, 0,0.58333333, 8
28239,1,*5,7,1, 12, 0, 0, 6,0,0, 1,0.83146067,19
28282,1,4,*2,1, 37, 1, 0, 1,0,0, 1,0.42857143, 5
28289,1,4,*5,1,  9, 0, 0, 1,0,0, 1,0.30000000, 6
28347,1,3,4,1, 50, 0, 1, 0,0,*2, 0,0.82758621, 1
28384,1,4,1,1,  5, 0,* 6, 5,0,0, 1,0.66666667,20
28417,4,*1,1,1,  7, 0,* 1,* 6,0,*1, 2,0.83042394,18
28432,1,4,*6,1, 11, 0, 0, 2,0,0, 1,0.89126853,19
28508,2,*1,*3,1, 61, 2, 0, 1,0,0, 1,0.75319149,29
28510,1,1,3,*0, 62, 2, 1, 0,0,0, 2,0.76369863,29
28587,1,4,4,1,  9, 1, 0,* 7,0,0, 1,0.77474403,42
28657,1,3,1,1, 53, 0, 0, 6,0,0,*15,0.89442815,20
28659,1,3,1,1, 54, 0, 0, 5,0,0,*16,0.89442815,20
28661,1,3,1,1, 54, 0, 0, 5,0,0,*18,0.89442815,20
28664,1,3,1,1, 54, 1, 0, 5,0,0,*20,0.89442815,20
28665,1,3,1,1, 54, 1, 0, 5,0,0,*21,0.89442815,20
28667,1,3,1,1, 54, 1, 0, 7,0,0,*23,0.89442815,20
28668,1,3,1,1, 54, 1, 0, 6,0,0,*24,0.89442815,20
28669,1,3,1,1, 54, 1, 0, 6,0,0,*25,0.89442815,20
28672,1,3,1,1, 54, 1, 0, 5,0,0,*28,0.89442815,20
28673,1,3,1,1, 55, 1, 0, 5,0,0,*28,0.89442815,20
28675,1,3,1,1, 55, 1, 0, 5,0,0,*30,0.89442815,20
28676,1,3,1,1, 55, 1, 0, 5,0,0,*31,0.89442815,20
28677,1,3,1,1, 55, 1, 0, 6,0,0,*32,0.89442815,20
28678,2,3,1,1, 55, 1, 0,* 6,0,0,*33,0.89442815,20
28680,2,3,1,1, 56, 1, 0,* 3,0,0,*34,0.89442815,20
