,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
21697,1,4,1,1,  4,* 2,0,1,0,0, 1,0.76923077, 9
21700,1,3,1,0,  5, 0,1,1,0,*2, 1,0.53125000, 8
21704,1,3,1,1, 11, 0,*5,4,0,0, 1,0.73745174,11
22038,2,3,*6,1,*  0, 0,0,0,0,0, 0,0.81840796,13
22040,1,3,*6,1,  4, 0,0,2,0,1, 1,0.79015544,17
22044,2,*5,1,*0,  7, 0,1,1,0,0, 1,0.50000000, 8
22046,1,3,*6,1, 16, 0,0,2,0,0, 1,0.79015544,17
22047,1,3,*6,1,  9, 0,0,2,0,0, 1,0.77979275,18
22048,1,3,*6,1, 10, 0,0,0,0,0, 2,0.79015544,17
22049,1,3,1,1,*  0, 0,0,1,0,0, 0,0.86288416, 9
22070,1,3,1,1, 32, 1,1,2,0,1, 1,0.50000000,* 1
22660,2,3,*2,1, 14, 0,0,2,0,*1, 1,0.80000000, 2
22828,1,3,*7,1,  2, 0,0,1,0,0, 0,0.86637931, 7
22834,2,*5,*5,0,  0, 0,1,0,0,0, 0,0.65000000, 8
22835,1,5,*5,0,  0, 0,1,0,0,0, 0,0.67500000, 8
22837,1,5,*5,0,  0, 0,1,0,0,0, 0,0.65116279, 8
22838,1,5,*5,0,  1, 0,1,0,0,0, 0,0.72093023, 8
22868,2,3,*2,1,*  0, 0,1,0,0,0, 0,0.44444444,14
22876,1,4,1,1, 10, 0,0,1,0,0, 1,*0.94396552, 6
22878,1,4,*4,0,  2, 0,1,1,0,0, 0,0.50000000, 8
22916,1,*2,1,1, 27, 0,3,3,0,0, 1,0.75478927, 8
22921,2,4,*2,1,*  0, 0,1,1,0,0, 0,0.40000000,13
22922,1,*1,1,1, 11, 0,1,2,1,1, 1,0.83783784,36
22930,2,4,*3,1,  3, 0,0,1,0,0, 1,*0.94893617, 6
22944,1,3,*6,1, 11, 0,2,2,0,0, 1,0.77380952,13
22946,1,*2,1,1, 12, 0,3,3,0,0, 1,0.85294118, 4
22947,2,*2,1,1, 14, 0,*3,3,0,0, 1,0.85294118, 4
22949,1,*2,1,1, 15, 0,3,3,0,0, 1,0.86764706, 4
22953,1,*1,1,1, 18, 0,1,2,1,0, 3,0.83333333,36
22959,1,3,*6,1, 14, 0,0,0,0,0, 0,0.80562660,16
22961,1,*1,1,1,  8, 1,3,3,1,0, 1,0.82666667,36
22962,1,*1,1,1, 13, 1,3,3,1,0, 1,0.82666667,36
22965,1,*1,1,1, 30, 1,2,2,1,0, 2,0.84000000,36
22970,1,*2,1,1, 13, 0,3,3,0,0, 0,0.83127572,18
22980,1,3,1,1, 19,* 2,0,1,0,0, 0,0.45000000, 6
23009,4,3,*2,*1,  1, 0,1,1,0,0, 0,*0.82608696,*92
23026,2,*2,1,1, 38, 0,1,2,*1,0, 1,0.82222222, 6
23032,1,3,1,1, 19, 0,1,2,0,1, 1,0.50000000,* 1
23042,1,*5,1,1,  4, 0,0,1,0,0, 1,0.33333333, 1
23044,2,*5,1,1,  3, 0,0,1,0,0, 1,0.66666667,* 1
23056,3,*1,*7,1, 16, 0,0,1,1,*1, 0,0.52500000,15
23060,1,4,1,0, 11, 0,0,2,*1,0, 1,0.81122449, 8
23064,2,*2,1,0,*  0, 0,1,1,0,0, 0,0.33333333, 8
23070,2,*2,1,0,  1, 1,1,1,0,*2, 0,0.66666667, 8
23086,1,3,4,0,*  0, 1,0,0,0,0, 0,0.81609195, 8
23135,1,3,*3,1,  7, 1,0,4,0,0, 1,0.86886228,30
23148,1,*2,1,1,  7, 0,2,2,0,0, 0,0.83265306,18
23157,4,*4,1,1,  3, 0,*4,*4,0,0, 1,*0.71875000, 6
23159,1,4,1,1,  5, 0,*4,4,0,0, 2,0.75000000, 6
23365,1,3,*4,1,  2, 0,1,1,0,0, 0,0.88571429, 5
23383,2,3,*7,0,  2, 0,*1,0,0,0, 0,0.82183908, 8
23564,4,3,*2,*1,  1, 0,1,1,0,0, 0,*0.89285714,*92
23589,7,*3,*1,*1, 14, 0,0,0,*1,*2, 0,*0.68421053,*10
23601,1,*2,1,1, 18, 0,1,2,0,0, 2,0.81290323,39
23603,1,*2,1,1, 34, 0,1,2,0,0, 2,0.81290323,39
23604,1,*2,1,1, 35, 0,1,2,0,0, 2,0.80769231,40
23605,1,*2,1,1, 35, 0,1,2,0,0, 2,0.80254777,42
23749,2,*2,1,1, 77, 0,1,4,0,0,*10,0.86607143,31
23751,1,*1,1,1,  2, 0,1,1,0,0, 0,0.90277778, 4
23914,2,*3,4,1, 17, 0,0,1,*2,0, 5,0.63235294,10
23932,4,3,*2,*1,  5, 0,*0,1,0,0, 0,0.54166667,*92
24671,3,*1,*3,1, 37, 2,0,1,*4,0, 4,0.89634146,33
24707,1,3,7,0,  1, 0,0,0,0,0,* 7,0.89097744, 8
24709,2,*4,1,1,  8, 0,2,*0,0,0, 0,0.73664122,47
24727,1,3,7,1,  2, 0,0,1,0,*1, 0,0.52500000,15
24731,1,3,*4,1, 10, 0,1,1,0,0, 0,0.83467742,18
24759,4,4,*6,*1,  1, 0,1,1,0,0, 0,*0.82608696,*92
24814,1,*2,1,1, 12, 2,0,2,1,0, 1,0.86917563,31
24823,1,*2,1,1, 59, 2,0,4,1,0, 2,0.87016081,32
24921,1,*5,1,1,  6, 0,0,0,1,0, 0,0.83365949,18
24928,1,3,1,1, 24, 0,2,1,0,*1, 1,0.66666667, 9
24932,2,*5,7,1,  2, 0,0,1,*1,0, 2,0.76616915,29
24940,1,4,*7,1,  6, 0,2,1,0,0, 1,0.65909091,13
24945,1,*2,1,1,  8, 0,2,2,0,0, 1,0.50000000,16
24951,1,4,*7,1,  8, 0,2,1,0,0, 1,0.65909091,13
24957,1,4,*7,1, 13, 0,2,1,0,0, 1,0.65909091,13
24963,2,3,*7,1,  8, 0,2,1,0,*1, 1,0.65909091,13
24968,1,3,*7,1,  9, 0,2,1,0,0, 1,0.55813953,13
24974,2,3,*7,1, 16, 0,2,1,0,*1, 1,0.65909091,13
24981,1,3,1,1, 32,* 2,1,1,0,0, 0,0.83534137,17
24988,2,3,*7,1, 21, 0,0,3,0,0, 1,*0.93750000, 7
24990,1,*4,1,1,  4, 0,1,2,0,0, 0,0.73106061,50
25012,1,3,1,1, 45, 1,1,*5,0,1, 4,0.40000000, 5
25103,1,3,1,1,  6, 0,0,*4,0,0, 1,0.76666667,16
25115,1,3,1,1, 11, 0,0,*4,0,0, 3,0.79687500,14
25245,1,3,1,1,  4, 0,1,*4,0,0, 1,0.76271186,17
25248,1,3,1,1,  4, 0,1,*4,0,0, 1,0.76666667,16
25266,1,3,1,1,  4, 0,1,4,0,0,* 9,0.81250000,13
25275,1,3,1,1, 17, 0,1,0,0,0,*12,0.80000000, 1
25280,3,3,1,*0, 28, 0,1,2,0,0,*13,0.80303030,* 1
25311,4,*4,4,*1,  1, 0,1,1,0,0, 0,*0.82608696,*92
25401,5,3,*2,1,  9, 0,*0,*0,0,0, 0,*0.75000000,* 2
25471,1,4,*6,1,  5, 0,0,2,0,0, 1,0.94514768, 6
26032,1,4,1,1, 17, 1,3,3,*1,0, 1,0.63809524,13
26043,4,3,1,1, 46, 0,*3,3,*1,0,* 6,0.50000000,* 1
26046,1,3,*4,1,  3, 0,0,1,0,0, 2,0.86279070,13
26049,1,*1,1,1,  7, 0,0,1,0,0, 0,0.86192469, 7
