issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change
HBASE-14779	0	1287	0	3	1	4	0
HBASE-4122	0	260	1	3	0	4	0
HBASE-12921	0	141	1	4	1	1	0
HBASE-19266	0	6	0	4	0	6	0
HBASE-19266	6	8	1	4	1	6	0
HBASE-4422	0	26	1	3	1	4	0
HBASE-10088	0	84	0	3	0	4	0
HBASE-10088	84	1988	0	3	1	4	0
HBASE-15985	0	28	1	3	1	7	0
HBASE-4723	0	9	1	4	1	4	0
HBASE-21349	0	3	1	4	0	1	0
HBASE-7372	0	1	0	3	0	1	0
HBASE-7372	1	590	1	3	1	1	0
HBASE-21459	0	46	1	3	1	7	0
HBASE-8665	0	1	0	3	0	1	0
HBASE-8665	1	18	0	3	1	1	0
HBASE-8665	18	20	1	1	1	1	1
HBASE-21851	0	100	0	3	0	1	0
HBASE-10668	0	1	0	3	0	1	0
HBASE-10668	1	2	1	3	1	1	0
HBASE-2824	0	210	1	4	0	2	0
HBASE-7700	0	31	1	3	1	1	0
HBASE-17020	0	7	1	3	1	1	0
HBASE-19687	0	1	1	3	1	7	0
HBASE-19364	0	111	1	3	1	1	0
HBASE-1337	0	56	1	4	0	4	0
HBASE-8840	0	2145	0	3	0	7	0
HBASE-15854	0	8	1	4	0	4	0
HBASE-2641	0	118	1	3	0	4	0
HBASE-1508	0	10	0	3	0	1	0
HBASE-1508	10	12	1	1	0	1	1
HBASE-13726	0	8	1	3	1	3	0
HBASE-332	0	1	1	4	0	1	0
HBASE-6040	0	14	1	3	1	4	0
HBASE-1516	0	2	1	3	1	1	0
HBASE-13663	0	1	1	3	1	1	0
HBASE-16957	0	7	1	3	1	7	0
HBASE-5034	0	2709	0	3	0	4	0
HBASE-8562	0	388	1	5	1	1	1
HBASE-5608	0	1580	1	1	0	1	0
HBASE-5966	0	1	0	3	0	1	0
HBASE-5966	1	71	1	3	1	1	0
HBASE-13446	0	84	0	2	1	3	0
HBASE-13446	84	121	0	2	0	3	0
HBASE-13446	121	122	1	2	1	3	0
HBASE-20307	0	145	0	4	0	4	0
HBASE-20307	145	163	1	4	1	4	0
HBASE-12054	0	2	1	3	1	1	0
HBASE-211	0	1	0	4	0	1	0
HBASE-211	1	9	1	4	0	1	0
HBASE-14314	0	14	1	3	1	4	0
HBASE-19864	0	1	1	3	1	7	0
HBASE-19120	0	2	1	3	1	1	0
HBASE-17161	0	10	1	3	1	4	0
HBASE-18457	0	19	1	3	0	7	0
HBASE-6190	0	1	1	3	1	6	0
HBASE-16892	0	15	1	5	1	7	0
HBASE-1384	0	4	1	3	1	1	0
HBASE-14617	0	233	0	3	1	7	0
HBASE-14617	233	323	1	3	1	7	0
HBASE-7764	0	4	1	3	1	7	0
HBASE-3599	0	1412	1	4	0	1	0
HBASE-14863	0	26	1	5	1	7	0
HBASE-10672	0	2	1	3	1	7	0
HBASE-20750	0	332	0	3	0	4	0
HBASE-11412	0	175	0	4	0	4	0
HBASE-11412	175	177	1	4	1	4	0
HBASE-7344	0	27	1	3	0	7	0
HBASE-10688	0	7	1	3	1	7	0
HBASE-7337	0	76	1	3	1	1	0
HBASE-15157	0	14	0	3	0	7	0
HBASE-15157	14	15	1	3	1	7	0
HBASE-8527	0	13	1	4	1	4	0
HBASE-22124	0	49	0	3	0	4	0
HBASE-8717	0	2168	0	3	0	1	0
HBASE-1698	0	33	1	3	1	4	1
HBASE-17339	0	51	0	3	0	4	0
HBASE-17339	51	412	1	3	1	4	0
HBASE-17794	0	4	1	5	1	7	0
HBASE-18628	0	6	1	2	1	1	0
HBASE-3209	0	1	1	3	1	4	0
HBASE-17133	0	100	0	3	0	1	0
HBASE-17133	100	221	0	1	0	1	1
HBASE-17133	221	263	0	1	0	1	1
HBASE-17133	263	355	1	2	0	1	1
HBASE-22205	0	1	1	3	1	1	0
HBASE-11243	0	1819	0	3	0	7	0
HBASE-17648	0	155	1	3	1	1	0
