issuekey	start_date	start	end	is_dead	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload
CLOUDSTACK-8239	2017-03-04	753	755	0	2	2	widodh	1	31	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-06	755	757	0	2	2	widodh	1	33	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-08	757	758	0	2	2	widodh	1	34	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-09	758	759	0	2	2	widodh	1	40	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-10	759	760	0	2	2	widodh	1	42	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-11	760	761	0	2	2	widodh	1	46	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-12	761	762	0	2	2	widodh	1	48	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-13	762	776	0	2	2	widodh	1	49	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-27	776	800	0	2	2	widodh	1	50	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-04-20	800	1021	0	2	2	widodh	1	52	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-11-27	1021	1022	1	2	2	widodh	1	52	2	1	1	0	0	3	0.5	2.0
CLOUDSTACK-8310	2015-03-10	0	1612	0	3	4	unassigned	0	1	0	0	0	0	0	0	0.0	
CLOUDSTACK-8629	2015-07-13	0	1	0	3	4	widodh	1	0	0	0	1	0	0	0	0.0	3.0
CLOUDSTACK-8629	2015-07-14	1	3	0	3	4	widodh	1	1	0	0	1	0	0	0	0.0	3.0
CLOUDSTACK-8629	2015-07-16	3	611	0	3	4	widodh	1	1	1	0	1	0	0	0	0.0	3.0
CLOUDSTACK-8629	2017-03-15	611	618	0	3	4	widodh	1	2	1	0	1	0	0	0	0.0	3.0
CLOUDSTACK-8629	2017-03-22	618	869	0	3	4	widodh	1	3	1	0	1	0	0	0	0.0	3.0
CLOUDSTACK-8629	2017-11-28	869	890	0	3	4	widodh	1	3	1	0	1	0	0	0	0.0	2.0
CLOUDSTACK-8629	2017-12-19	890	891	0	3	4	widodh	1	3	1	0	1	0	0	0	0.3333333333333333	2.0
CLOUDSTACK-8629	2017-12-20	891	1487	0	3	4	widodh	1	3	1	0	1	0	0	0	0.3333333333333333	1.0
CLOUDSTACK-9293	2016-02-20	0	3	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-9293	2016-02-23	3	4	1	3	1	serverchief	1	3	0	1	0	0	0	0	0.5	1.0
CLOUDSTACK-9777	2017-02-08	0	10	0	3	1	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-9777	2017-02-18	10	11	0	3	1	unassigned	0	1	0	0	0	0	0	0	0.0	
CLOUDSTACK-9777	2017-02-19	11	373	0	3	1	unassigned	0	3	0	0	0	0	0	0	0.0	
CLOUDSTACK-9777	2018-02-16	373	376	0	3	5	unassigned	0	3	0	0	0	0	0	0	0.0	
CLOUDSTACK-9777	2018-02-19	376	911	0	3	5	unassigned	0	4	0	0	0	0	0	0	0.0	
CLOUDSTACK-9778	2017-02-08	0	41	0	3	2	unassigned	0	2	0	0	0	0	0	0	0.0	
CLOUDSTACK-9778	2017-03-21	41	44	0	3	2	unassigned	0	3	0	0	0	0	0	0	0.0	
CLOUDSTACK-9778	2017-03-24	44	48	0	3	2	unassigned	0	4	0	0	0	0	0	0	0.0	
CLOUDSTACK-9778	2017-03-28	48	911	0	3	2	unassigned	0	5	0	0	0	0	0	0	0.0	
CLOUDSTACK-9804	2017-02-27	0	12	0	4	2	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-9804	2017-03-11	12	14	0	4	2	unassigned	0	1	0	0	0	0	0	0	0.0	
CLOUDSTACK-9804	2017-03-13	14	892	0	4	2	unassigned	0	2	0	0	0	0	0	0	0.0	
